"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"773","","360499709001","pantalon distefano azul oscuro regular vintage fit talla 28","Standard","General","1.00","0","Inclusivo","207.60","325.00"
"772","","360597716002","pantalon distefano azul claro slim fit talla 34","Standard","General","3.00","0","Inclusivo","207.60","325.00"
"771","","360597712002","pantalon distefano azul claro slim fit talla 30","Standard","General","-1.00","0","Inclusivo","207.60","325.00"
"770","","039304288579","Sudadero Levis negro logo rojo talla L","Standard","General","0.00","0","Inclusivo","455.00","650.00"
"769","","885608680508","Sudadero Levis negro logo rojo talla m","Standard","General","1.00","0","Inclusivo","455.00","650.00"
"768","","039304288562","Sudadero Levis negro logo rojo talla s","Standard","General","0.00","0","Inclusivo","455.00","650.00"
"767","","889812285764","Sudadero Levis azul marino logo rojo talla L","Standard","General","2.00","0","Inclusivo","455.00","650.00"
"766","","052176280427","Sudadero Levis azul marino logo rojo talla m","Standard","General","2.00","0","Inclusivo","455.00","650.00"
"765","","889812285757","Sudadero Levis azul marino logo rojo talla s","Standard","General","2.00","0","Inclusivo","455.00","650.00"
"764","","191291066438","Sudadero Levis blanco logo rojo talla L","Standard","General","1.00","0","Inclusivo","455.00","650.00"
"763","","191291521838","Sudadero Levis blanco logo rojo talla  m","Standard","General","1.00","0","Inclusivo","455.00","650.00"
"762","","191291066421","Sudadero Levis blanco logo rojo talla s","Standard","General","2.00","0","Inclusivo","455.00","650.00"
"761","","197021286619","Camisa Levis a cuadros rosa, azul y verde talla m","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"760","","197021286626","Camisa Levis a cuadros rosa, azul y verde talla s","Standard","Camisas","1.00","0","Inclusivo","446.00","550.00"
"759","","197021643290","Camisa Levis a cuadros verde, blanco y azul talla L","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"758","","197021644006","Camisa Levis a cuadros verde, blanco y azul talla m","Standard","Camisas","0.00","0","Inclusivo","445.00","550.00"
"757","","197021644013","Camisa Levis a cuadros verde, blanco y azul talla S","Standard","Camisas","2.00","0","Inclusivo","445.00","550.00"
"756","","197021634380","Camisa Levis a cuadros corinto con blanco talla L","Standard","Camisas","1.00","0","Inclusivo","414.00","550.00"
"755","","197021634397","Camisa Levis a cuadros corinto con blanco talla m","Standard","Camisas","1.00","0","Inclusivo","414.00","550.00"
"754","","197021636100","Camisa Levis a cuadros corinto con blanco talla S","Standard","Camisas","1.00","0","Inclusivo","414.00","550.00"
"753","","197021652810","Camisa Levis a cuadros azul y blanco talla L","Standard","Camisas","0.00","0","Inclusivo","445.00","550.00"
"752","","197021652827","Camisa Levis a cuadros azul y blanco talla m","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"751","","197021652834","Camisa Levis a cuadros azul y blanco talla s","Standard","Camisas","2.00","0","Inclusivo","445.00","550.00"
"750","","197021633284","Camisa Levis a cuadros verde, negro y blanco talla L","Standard","Camisas","0.00","0","Inclusivo","445.00","550.00"
"749","","197021633307","Camisa Levis a cuadros verde, negro y blanco talla m","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"748","","197021633321","Camisa Levis a cuadros verde, negro y blanco talla s","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"747","","197021644105","Camisa Levis a cuadros turquesa, blanco y verde con mangas talla L","Standard","Camisas","2.00","0","Inclusivo","445.00","550.00"
"746","","197021644112","Camisa Levis a cuadros turquesa, blanco y verde con mangas talla m","Standard","Camisas","2.00","0","Inclusivo","445.00","550.00"
"745","","197021644129","Camisa Levis a cuadros turquesa, blanco y verde con mangas talla s","Standard","Camisas","1.00","0","Inclusivo","445.00","550.00"
"744","","196630801367","shirt levis negro pez talla L","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"743","","196630801381","shirt levis negro pez talla s","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"742","","196630926558","shirt levis negro pez talla xs","Standard","General","0.00","0","Inclusivo","173.59","290.00"
"741","","887035408359887035408359","Pantalón Levis 512 slim taper color azul marino 34*32","Standard","General","1.00","0","Inclusivo","509.58","750.00"
"740","","193238661133","Pantalón Levis 512 slim taper color negro 34*32","Standard","General","2.00","0","Inclusivo","509.58","750.00"
"739","","193238661102","Pantalón Levis 512 slim taper color negro 33*32","Standard","General","2.00","0","Inclusivo","509.58","750.00"
"738","","192379588859","Pantalón Levis 512 slim taper color negro 32*32","Standard","General","0.00","0","Inclusivo","509.58","750.00"
"737","","193238661058","Pantalón Levis 512 slim taper color negro 31*32","Standard","General","1.00","0","Inclusivo","509.58","750.00"
"736","","193238661027","Pantalón Levis 512 slim taper color negro 30*32","Standard","General","2.00","0","Inclusivo","509.58","750.00"
"735","","193238660990","Pantalón Levis 512 slim taper color negro 29*32","Standard","General","2.00","0","Inclusivo","509.58","750.00"
"734","","193238660983","Pantalón Levis 512 slim taper color negro 28*32","Standard","General","2.00","0","Inclusivo","509.58","750.00"
"733","","889319774891","pantalón 511 Slim levis negro 36*32","Standard","General","2.00","0","Inclusivo","509.58","730.00"
"732","","020235016009","Joguer Distefano tipo cargo kaky talla 34","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"731","","020235014009","Joguer Distefano tipo cargo kaky talla 32","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"730","","020235012009","Joguer Distefano tipo cargo kaky talla 30","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"729","","020235014005","Joguer Distefano tipo cargo kaky talla 28","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"728","","020235009009","Joguer Distefano tipo cargo kaki lona dura talla 28","Standard","General","-1.00","0","Inclusivo","239.60","385.00"
"727","","020235016007","Joguer Distefano tipo cargo negro talla 34","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"726","","020235014007","Joguer Distefano tipo cargo negro talla 32","Standard","General","1.00","0","Inclusivo","239.60","385.00"
"725","","020235012007","Joguer Distefano tipo cargo negro talla 30","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"724","","020235009007","Joguer Distefano tipo cargo negro talla 28","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"723","","020235016016","Joguer Distefano tipo cargo gris oscuro talla 34","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"722","","020235014016","Joguer Distefano tipo cargo gris oscuro talla 32","Standard","General","0.00","0","Inclusivo","239.60","385.00"
"721","","020235012016","Joguer Distefano tipo cargo gris oscuro talla 30","Standard","General","-1.00","0","Inclusivo","239.60","385.00"
"720","","020235009016","Joguer Distefano tipo cargo gris oscuro talla 28","Standard","General","1.00","0","Inclusivo","239.60","385.00"
"719","","060239603016","Sudadero Distefano gris cuello redondo talla M","Standard","General","0.00","0","Inclusivo","229.00","350.00"
"718","","060239602016","Sudadero Distefano gris cuello redondo talla s","Standard","General","0.00","0","Inclusivo","183.20","350.00"
"717","","030244301005","Jacket verde menta talla xs (030244302005)","Standard","General","0.00","0","Inclusivo","374.50","500.00"
"716","","030243403016","Jacket Distefano gris claro talla m","Standard","General","0.00","0","Inclusivo","379.50","500.00"
"715","","030243402016","Jacket Distefano gris claro talla s","Standard","General","0.00","0","Inclusivo","379.50","500.00"
"714","","030245403007","Jacket Distefano de cuero negro talla m","Standard","General","0.00","0","Inclusivo","449.50","550.00"
"713","","030245402007","Jacket Distefano de cuero negro talla s","Standard","General","0.00","0","Inclusivo","449.50","550.00"
"712","","010279704007","Camisa Distefano a cuadros color negro y jade talla L","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"711","","010279703007","Camisa Distefano a cuadros color negro y jade talla m","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"710","","010279702007","Camisa Distefano a cuadros color negro y jade talla s","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"709","","480254704006","Camisa Distefano blanco sin mangas talla L","Standard","General","0.00","0","Inclusivo","171.60","275.00"
"708","","480254703006","Camisa Distefano blanco sin mangas talla m","Standard","General","0.00","0","Inclusivo","171.60","275.00"
"707","","480254702006","Camisa Distefano blanco sin mangas talla s","Standard","General","0.00","0","Inclusivo","171.60","275.00"
"706","","010277803001","Camisa Distefano azul tipo mezclilla talla m","Standard","General","0.00","0","Inclusivo","183.60","310.00"
"705","","010277802001","Camisa Distefano azul tipo mezclilla talla s","Standard","General","0.00","0","Inclusivo","183.60","310.00"
"704","","9107603332","Pantalón levis kids celeste claro talla 27","Standard","General","0.00","0","Inclusivo","240.00","365.00"
"703","","360497717002","Pantalón Distefano slim fit azul talla 36","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"702","","360497716002","Pantalón Distefano slim fit azul talla 34","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"701","","360497714002","Pantalón Distefano slim fit azul talla 32","Standard","General","1.00","0","Inclusivo","207.60","325.00"
"700","","360497712002","Pantalón Distefano slim fit azul talla 30","Standard","General","1.00","0","Inclusivo","207.60","325.00"
"699","","480254704007","Camisa Distefano negro manga corta talla L","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"698","","480254703007","Camisa Distefano negro manga corta talla M","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"697","","480254702007","Camisa Distefano negro manga corta talla S","Standard","General","0.00","0","Inclusivo","171.60","300.00"
"695","","360500517007","Pantalón Distefano negro vintage fit talla 36","Standard","General","1.00","0","Inclusivo","207.60","325.00"
"694","","360500516007","Pantalón Distefano negro vintage fit talla 34","Standard","General","1.00","0","Inclusivo","207.60","325.00"
"693","","360500514007","Pantalón Distefano negro vintage fit talla 32","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"692","","360599716010","Pantalón Distefano celeste vintage fit talla 34","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"691","","360599714010","Pantalón Distefano celeste vintage fit talla 32","Standard","General","0.00","0","Inclusivo","207.60","325.00"
"690","","020434617009","Pantalón Distefano formal kaky talla 36","Standard","General","2.00","0","Inclusivo","199.60","325.00"
"689","","020434616009","Pantalón Distefano formal kaky talla 34","Standard","General","0.00","0","Inclusivo","199.60","325.00"
"688","","020434612009","Pantalón Distefano formal kaky talla 30","Standard","General","0.00","0","Inclusivo","199.60","325.00"
"687","","020434614009","Pantalón Distefano formal kaki talla 32","Standard","General","0.00","0","Inclusivo","199.60","325.00"
"686","","192857123428","Gorra curva new era los Yankees color blanco logo azul marino","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"685","","192857123459","Gorra curva new era Los Angeles color blanco logo azul","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"684","","192093992680","Gorra curva new era los Yankees azul marino con logo blanco","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"683","","192094002654","Gorra new era  Los Angeles color gris logo azul","Standard","General","0.00","0","Inclusivo","153.45","279.00"
"682","","196998659143","Gorra curva new era Los Angeles color rosa logo blanco","Standard","General","1.00","0","Inclusivo","180.95","290.00"
"681","","196998644422","Gorra curva new era los Yankees color hueso logo blanco","Standard","General","0.00","0","Inclusivo","180.95","290.00"
"680","","192857123442","Gorra curva new era los Yankees color kaki logo azul marino","Standard","General","0.00","0","Inclusivo","153.45","279.00"
